distribution,n,budget,eta,exact,greedy,beam,balanced,weighted,greedy_absolute_objective_gap,beam_absolute_objective_gap,greedy_relative_objective_gap,beam_relative_objective_gap
zipf,16,3,0.30,3.947466,4.000000,3.947466,4.000000,4.339609,0.052534,0.000000,0.013308,0.000000
zipf,16,4,0.00,3.456588,3.504765,3.456588,4.000000,3.628012,0.048177,0.000000,0.013938,0.000000
zipf,16,4,0.15,3.688100,3.868587,3.688100,4.000000,3.983810,0.180487,0.000000,0.048938,0.000000
zipf,16,4,0.30,3.919612,4.000000,3.919612,4.000000,4.339609,0.080388,0.000000,0.020509,0.000000
zipf,20,1,0.00,3.841865,3.841865,3.841865,5.000000,4.471262,0.000000,0.000000,0.000000,0.000000
zipf,20,1,0.15,4.015586,4.015586,4.015586,5.000000,4.700573,0.000000,0.000000,0.000000,0.000000
zipf,20,1,0.30,4.189306,4.189306,4.189306,5.000000,4.929884,0.000000,0.000000,0.000000,0.000000
zipf,20,2,0.00,3.804177,3.841865,3.804177,5.000000,4.193310,0.037689,0.000000,0.009907,0.000000
zipf,20,2,0.15,3.988022,4.015586,3.988022,5.000000,4.464314,0.027564,0.000000,0.006912,0.000000
zipf,20,2,0.30,4.166606,4.189306,4.166606,5.000000,4.735317,0.022699,0.000000,0.005448,0.000000
zipf,20,3,0.00,3.726052,3.841865,3.726052,5.000000,3.947455,0.115813,0.000000,0.031082,0.000000
zipf,20,3,0.15,3.917144,4.015586,3.917144,5.000000,4.255336,0.098441,0.000000,0.025131,0.000000
zipf,20,3,0.30,4.108236,4.189306,4.108236,5.000000,4.563218,0.081069,0.000000,0.019733,0.000000
zipf,20,4,0.00,3.724531,3.841865,3.724531,4.971473,3.947455,0.117334,0.000000,0.031503,0.000000
zipf,20,4,0.15,3.917144,4.015586,3.917144,4.975752,4.255336,0.098441,0.000000,0.025131,0.000000
zipf,20,4,0.30,4.108236,4.189306,4.108236,4.980031,4.563218,0.081069,0.000000,0.019733,0.000000
zipf,24,1,0.00,4.280221,4.280221,4.280221,5.000000,4.543416,0.000000,0.000000,0.000000,0.000000
