mode,workload,backend,n,operations,repeat,ns_per_operation,build_ns,checksum,blocks
full,C,fenwick,512,5000,20,35.700000,150292,244669.000000,0
full,C,fenwick,512,5000,21,35.875000,150792,244669.000000,0
full,C,fenwick,512,5000,22,35.925000,149584,244669.000000,0
full,C,fenwick,512,5000,23,34.983200,151042,244669.000000,0
full,C,fenwick,512,5000,24,34.966600,151041,244669.000000,0
full,C,certigap_h,512,5000,0,115.583400,57541,244669.000000,4
full,C,certigap_h,512,5000,1,115.133200,43500,244669.000000,4
full,C,certigap_h,512,5000,2,114.791600,41750,244669.000000,4
full,C,certigap_h,512,5000,3,114.466600,40750,244669.000000,4
full,C,certigap_h,512,5000,4,114.691600,40916,244669.000000,4
full,C,certigap_h,512,5000,5,114.358400,40708,244669.000000,4
full,C,certigap_h,512,5000,6,115.733200,40167,244669.000000,4
full,C,certigap_h,512,5000,7,116.550000,53500,244669.000000,4
full,C,certigap_h,512,5000,8,115.408400,40917,244669.000000,4
full,C,certigap_h,512,5000,9,112.516600,40708,244669.000000,4
full,C,certigap_h,512,5000,10,110.083200,38583,244669.000000,4
full,C,certigap_h,512,5000,11,109.808200,38250,244669.000000,4
full,C,certigap_h,512,5000,12,110.000000,38041,244669.000000,4
full,C,certigap_h,512,5000,13,110.200000,37750,244669.000000,4
full,C,certigap_h,512,5000,14,109.966600,38500,244669.000000,4
full,C,certigap_h,512,5000,15,109.950000,38334,244669.000000,4
full,C,certigap_h,512,5000,16,109.500000,38166,244669.000000,4
full,C,certigap_h,512,5000,17,112.991600,38042,244669.000000,4
full,C,certigap_h,512,5000,18,121.025000,41583,244669.000000,4
full,C,certigap_h,512,5000,19,120.575000,41291,244669.000000,4
full,C,certigap_h,512,5000,20,120.400000,41583,244669.000000,4
full,C,certigap_h,512,5000,21,129.533400,41334,244669.000000,4
full,C,certigap_h,512,5000,22,126.466600,49958,244669.000000,4
full,C,certigap_h,512,5000,23,122.075000,45042,244669.000000,4
full,C,certigap_h,512,5000,24,121.300000,42792,244669.000000,4
full,F,sqlite_btree,512,5000,0,991.366800,237333,283860.000000,0
full,F,sqlite_btree,512,5000,1,1058.783400,204500,283860.000000,0
full,F,sqlite_btree,512,5000,2,1037.350000,228917,283860.000000,0
full,F,sqlite_btree,512,5000,3,1189.866600,178375,283860.000000,0
full,F,sqlite_btree,512,5000,4,975.900000,246375,283860.000000,0
full,F,sqlite_btree,512,5000,5,939.600000,178750,283860.000000,0
full,F,sqlite_btree,512,5000,6,1038.358400,174875,283860.000000,0
full,F,sqlite_btree,512,5000,7,942.241600,182416,283860.000000,0
full,F,sqlite_btree,512,5000,8,987.550000,185959,283860.000000,0
full,F,sqlite_btree,512,5000,9,1102.100000,178292,283860.000000,0
full,F,sqlite_btree,512,5000,10,937.058200,208750,283860.000000,0
full,F,sqlite_btree,512,5000,11,950.875000,177416,283860.000000,0
full,F,sqlite_btree,512,5000,12,1122.608400,231958,283860.000000,0
full,F,sqlite_btree,512,5000,13,966.883400,157166,283860.000000,0
full,F,sqlite_btree,512,5000,14,1071.308400,204209,283860.000000,0
full,F,sqlite_btree,512,5000,15,929.108400,168458,283860.000000,0
full,F,sqlite_btree,512,5000,16,1063.791600,166459,283860.000000,0
full,F,sqlite_btree,512,5000,17,1033.533200,205375,283860.000000,0
full,F,sqlite_btree,512,5000,18,1015.975000,195083,283860.000000,0
full,F,sqlite_btree,512,5000,19,965.491600,162459,283860.000000,0
full,F,sqlite_btree,512,5000,20,1042.500000,165416,283860.000000,0
full,F,sqlite_btree,512,5000,21,1021.858200,181333,283860.000000,0
full,F,sqlite_btree,512,5000,22,1010.691600,177167,283860.000000,0
full,F,sqlite_btree,512,5000,23,982.991600,186458,283860.000000,0
full,F,sqlite_btree,512,5000,24,1065.591800,165167,283860.000000,0
full,F,fenwick,512,5000,0,227.000000,156125,283860.000000,0
full,F,fenwick,512,5000,1,226.783400,155583,283860.000000,0
full,F,fenwick,512,5000,2,226.200000,147208,283860.000000,0
full,F,fenwick,512,5000,3,224.983200,145875,283860.000000,0
full,F,fenwick,512,5000,4,243.100000,152083,283860.000000,0
full,F,fenwick,512,5000,5,241.308400,159042,283860.000000,0
full,F,fenwick,512,5000,6,241.108400,156000,283860.000000,0
full,F,fenwick,512,5000,7,244.341600,154708,283860.000000,0
full,F,fenwick,512,5000,8,250.750000,161166,283860.000000,0
full,F,fenwick,512,5000,9,251.091600,162000,283860.000000,0
full,F,fenwick,512,5000,10,251.441600,161541,283860.000000,0
full,F,fenwick,512,5000,11,251.616600,162000,283860.000000,0
full,F,fenwick,512,5000,12,252.883400,161625,283860.000000,0
full,F,fenwick,512,5000,13,252.000000,164583,283860.000000,0
full,F,fenwick,512,5000,14,255.200000,162209,283860.000000,0
full,F,fenwick,512,5000,15,264.025000,170625,283860.000000,0
full,F,fenwick,512,5000,16,263.783400,169209,283860.000000,0
full,F,fenwick,512,5000,17,263.233400,170625,283860.000000,0
full,F,fenwick,512,5000,18,241.766600,170333,283860.000000,0
full,F,fenwick,512,5000,19,241.658400,157708,283860.000000,0
full,F,fenwick,512,5000,20,240.341600,155708,283860.000000,0
full,F,fenwick,512,5000,21,251.466600,155125,283860.000000,0
full,F,fenwick,512,5000,22,280.616600,180500,283860.000000,0
full,F,fenwick,512,5000,23,283.491600,184541,283860.000000,0
full,F,fenwick,512,5000,24,280.550000,184208,283860.000000,0
full,F,certigap_h,512,5000,0,785.900000,65250,283860.000000,8
full,F,certigap_h,512,5000,1,578.016600,41959,283860.000000,8
full,F,certigap_h,512,5000,2,654.841800,41167,283860.000000,8
full,F,certigap_h,512,5000,3,764.441800,54583,283860.000000,8
full,F,certigap_h,512,5000,4,576.183400,37750,283860.000000,8
full,F,certigap_h,512,5000,5,631.608400,38750,283860.000000,8
full,F,certigap_h,512,5000,6,726.991600,48208,283860.000000,8
full,F,certigap_h,512,5000,7,590.208400,41334,283860.000000,8
full,F,certigap_h,512,5000,8,654.733200,37958,283860.000000,8
full,F,certigap_h,512,5000,9,777.108400,52334,283860.000000,8
full,F,certigap_h,512,5000,10,580.758400,47500,283860.000000,8
full,F,certigap_h,512,5000,11,601.558400,43458,283860.000000,8
full,F,certigap_h,512,5000,12,623.616600,42791,283860.000000,8
full,F,certigap_h,512,5000,13,623.258400,43500,283860.000000,8
full,F,certigap_h,512,5000,14,643.425000,41792,283860.000000,8
full,F,certigap_h,512,5000,15,663.541600,55709,283860.000000,8
full,F,certigap_h,512,5000,16,603.841600,45458,283860.000000,8
full,F,certigap_h,512,5000,17,596.600000,39917,283860.000000,8
full,F,certigap_h,512,5000,18,660.391600,43708,283860.000000,8
full,F,certigap_h,512,5000,19,620.466800,43292,283860.000000,8
full,F,certigap_h,512,5000,20,581.716800,37458,283860.000000,8
full,F,certigap_h,512,5000,21,782.066600,37209,283860.000000,8
full,F,certigap_h,512,5000,22,653.041600,52125,283860.000000,8
full,F,certigap_h,512,5000,23,581.608400,37666,283860.000000,8
full,F,certigap_h,512,5000,24,860.391600,44083,283860.000000,8
full,R,sqlite_btree,512,5000,0,1299.150000,270667,111323771.000000,0
full,R,sqlite_btree,512,5000,1,1187.083400,209833,111323771.000000,0
full,R,sqlite_btree,512,5000,2,1277.408400,285291,111323771.000000,0
full,R,sqlite_btree,512,5000,3,1381.991800,220083,111323771.000000,0
full,R,sqlite_btree,512,5000,4,1035.541600,172333,111323771.000000,0
full,R,sqlite_btree,512,5000,5,1238.325000,215000,111323771.000000,0
full,R,sqlite_btree,512,5000,6,1015.725000,169458,111323771.000000,0
full,R,sqlite_btree,512,5000,7,1199.216600,180584,111323771.000000,0
full,R,sqlite_btree,512,5000,8,1137.333200,217458,111323771.000000,0
full,R,sqlite_btree,512,5000,9,1018.441600,193709,111323771.000000,0
full,R,sqlite_btree,512,5000,10,1297.741800,165917,111323771.000000,0
full,R,sqlite_btree,512,5000,11,1289.808200,164666,111323771.000000,0
full,R,sqlite_btree,512,5000,12,1187.016600,277042,111323771.000000,0
full,R,sqlite_btree,512,5000,13,1517.616800,173208,111323771.000000,0
