horizon,n,workload,implementation,operations,ns_per_operation,switches,checksum
50000,256,alternating,sqrt_decomposition,50000,11.675,0,402461877
50000,256,alternating,segment_tree,50000,10.5375,0,402461877
50000,256,alternating,tracking_native_fast_sampled,50000,9.04584,0,402461877
50000,256,short_phases,sorted_array,50000,54.95584,0,404114224
50000,256,short_phases,prefix_sum,50000,15.81666,0,404114224
50000,256,short_phases,fenwick,50000,5.82834,0,404114224
50000,256,short_phases,sqrt_decomposition,50000,14.06584,0,404114224
50000,256,short_phases,segment_tree,50000,12.95084,0,404114224
50000,256,short_phases,tracking_native_fast_sampled,50000,9.845,0,404114224
50000,256,read_mostly,sorted_array,50000,75.395,0,575047960
50000,256,read_mostly,prefix_sum,50000,4.065,0,575047960
50000,256,read_mostly,fenwick,50000,5.14916,0,575047960
50000,256,read_mostly,sqrt_decomposition,50000,16.0575,0,575047960
50000,256,read_mostly,segment_tree,50000,11.97582,0,575047960
50000,256,read_mostly,tracking_native_fast_sampled,50000,8.66,0,575047960
50000,4096,stable_points,sorted_array,50000,1.935,0,102296488
50000,4096,stable_points,prefix_sum,50000,1.9175,0,102296488
50000,4096,stable_points,fenwick,50000,1.9175,0,102296488
50000,4096,stable_points,sqrt_decomposition,50000,1.9175,0,102296488
50000,4096,stable_points,segment_tree,50000,1.91918,0,102296488
50000,4096,stable_points,tracking_native_fast_sampled,50000,6.9,0,102296488
50000,4096,stable_ranges,sorted_array,50000,3554.11584,0,410801953648
50000,4096,stable_ranges,prefix_sum,50000,1.92416,0,410801953648
50000,4096,stable_ranges,fenwick,50000,6.30416,0,410801953648
50000,4096,stable_ranges,sqrt_decomposition,50000,97.97084,0,410801953648
50000,4096,stable_ranges,segment_tree,50000,23.51334,0,410801953648
50000,4096,stable_ranges,tracking_native_fast_sampled,50000,10.36584,0,410801953648
50000,4096,stable_updates,sorted_array,50000,1.92584,0,0
50000,4096,stable_updates,prefix_sum,50000,368.17,0,0
50000,4096,stable_updates,fenwick,50000,7.86,0,0
50000,4096,stable_updates,sqrt_decomposition,50000,18.78,0,0
50000,4096,stable_updates,segment_tree,50000,18.98334,0,0
50000,4096,stable_updates,tracking_native_fast_sampled,50000,14.57082,0,0
50000,4096,range_to_update,sorted_array,50000,1777.19416,0,205401797656
50000,4096,range_to_update,prefix_sum,50000,185.23834,0,205401797656
50000,4096,range_to_update,fenwick,50000,7.23082,0,205401797656
50000,4096,range_to_update,sqrt_decomposition,50000,57.66584,0,205401797656
50000,4096,range_to_update,segment_tree,50000,21.42916,0,205401797656
50000,4096,range_to_update,tracking_native_fast_sampled,50000,12.50166,0,205401797656
50000,4096,update_to_range,sorted_array,50000,1780.53082,0,-42436664
50000,4096,update_to_range,prefix_sum,50000,184.2375,0,-42436664
50000,4096,update_to_range,fenwick,50000,7.22332,0,-42436664
50000,4096,update_to_range,sqrt_decomposition,50000,57.62834,0,-42436664
50000,4096,update_to_range,segment_tree,50000,22.29584,0,-42436664
50000,4096,update_to_range,tracking_native_fast_sampled,50000,12.755,0,-42436664
50000,4096,alternating,sorted_array,50000,1777.2925,0,106986251467
50000,4096,alternating,prefix_sum,50000,137.54668,0,106986251467
50000,4096,alternating,fenwick,50000,6.48,0,106986251467
50000,4096,alternating,sqrt_decomposition,50000,48.15584,0,106986251467
50000,4096,alternating,segment_tree,50000,18.30918,0,106986251467
50000,4096,alternating,tracking_native_fast_sampled,50000,11.11084,0,106986251467
50000,4096,short_phases,sorted_array,50000,1781.93,0,107249708071
50000,4096,short_phases,prefix_sum,50000,184.3075,0,107249708071
50000,4096,short_phases,fenwick,50000,6.98168,0,107249708071
50000,4096,short_phases,sqrt_decomposition,50000,56.78166,0,107249708071
50000,4096,short_phases,segment_tree,50000,20.88918,0,107249708071
50000,4096,short_phases,tracking_native_fast_sampled,50000,12.53,0,107249708071
50000,4096,read_mostly,sorted_array,50000,2485.88084,0,173422018724
50000,4096,read_mostly,prefix_sum,50000,47.12084,0,173422018724
50000,4096,read_mostly,fenwick,50000,5.95584,0,173422018724
50000,4096,read_mostly,sqrt_decomposition,50000,69.29668,0,173422018724
50000,4096,read_mostly,segment_tree,50000,20.0825,0,173422018724
50000,4096,read_mostly,tracking_native_fast_sampled,50000,11.15,0,173422018724
