distribution,n,budget,eta,solver,objective,average_cost,max_cost,time_ms,quality_gap_vs_exact
uniform,16,3,0.15,exact,4.000000,4.000000,4.000000,2.513250,0.000000
uniform,16,3,0.15,beam,4.000000,4.000000,4.000000,4.916708,0.000000
uniform,16,3,0.15,greedy,4.000000,4.000000,4.000000,0.088708,0.000000
uniform,16,3,0.15,balanced,4.000000,4.000000,4.000000,0.009208,0.000000
uniform,16,3,0.15,weighted,4.000000,4.000000,4.000000,0.014583,0.000000
uniform,16,3,0.30,exact,4.000000,4.000000,4.000000,2.525041,0.000000
uniform,16,3,0.30,beam,4.000000,4.000000,4.000000,4.882459,0.000000
uniform,16,3,0.30,greedy,4.000000,4.000000,4.000000,0.086458,0.000000
uniform,16,3,0.30,balanced,4.000000,4.000000,4.000000,0.008708,0.000000
uniform,16,3,0.30,weighted,4.000000,4.000000,4.000000,0.014459,0.000000
uniform,16,4,0.00,exact,4.000000,4.000000,4.000000,5.600125,0.000000
uniform,16,4,0.00,beam,4.000000,4.000000,4.000000,7.825000,0.000000
uniform,16,4,0.00,greedy,4.000000,4.000000,4.000000,0.087792,0.000000
uniform,16,4,0.00,balanced,4.000000,4.000000,4.000000,0.011417,0.000000
uniform,16,4,0.00,weighted,4.000000,4.000000,4.000000,0.016750,0.000000
uniform,16,4,0.15,exact,4.000000,4.000000,4.000000,5.390875,0.000000
uniform,16,4,0.15,beam,4.000000,4.000000,4.000000,7.642250,0.000000
uniform,16,4,0.15,greedy,4.000000,4.000000,4.000000,0.089500,0.000000
uniform,16,4,0.15,balanced,4.000000,4.000000,4.000000,0.011000,0.000000
uniform,16,4,0.15,weighted,4.000000,4.000000,4.000000,0.017417,0.000000
uniform,16,4,0.30,exact,4.000000,4.000000,4.000000,5.334417,0.000000
uniform,16,4,0.30,beam,4.000000,4.000000,4.000000,7.580709,0.000000
uniform,16,4,0.30,greedy,4.000000,4.000000,4.000000,0.087459,0.000000
uniform,16,4,0.30,balanced,4.000000,4.000000,4.000000,0.010625,0.000000
uniform,16,4,0.30,weighted,4.000000,4.000000,4.000000,0.017000,0.000000
uniform,20,2,0.00,exact,4.400000,4.400000,5.000000,1.079584,0.000000
uniform,20,2,0.00,beam,4.400000,4.400000,5.000000,3.062875,0.000000
uniform,20,2,0.00,greedy,4.600000,4.600000,5.000000,0.254250,0.200000
uniform,20,2,0.00,balanced,5.000000,5.000000,5.000000,0.007167,0.600000
uniform,20,2,0.00,weighted,5.000000,5.000000,5.000000,0.012833,0.600000
uniform,20,2,0.15,exact,4.490000,4.400000,5.000000,1.057000,0.000000
uniform,20,2,0.15,beam,4.490000,4.400000,5.000000,3.089000,0.000000
uniform,20,2,0.15,greedy,4.660000,4.600000,5.000000,0.254250,0.170000
uniform,20,2,0.15,balanced,5.000000,5.000000,5.000000,0.007500,0.510000
uniform,20,2,0.15,weighted,5.000000,5.000000,5.000000,0.012541,0.510000
uniform,20,2,0.30,exact,4.580000,4.400000,5.000000,1.071125,0.000000
uniform,20,2,0.30,beam,4.580000,4.400000,5.000000,3.089166,0.000000
uniform,20,2,0.30,greedy,4.720000,4.600000,5.000000,0.257375,0.140000
uniform,20,2,0.30,balanced,5.000000,5.000000,5.000000,0.007667,0.420000
uniform,20,2,0.30,weighted,5.000000,5.000000,5.000000,0.012834,0.420000
uniform,20,3,0.00,exact,4.400000,4.400000,5.000000,4.422375,0.000000
uniform,20,3,0.00,beam,4.400000,4.400000,5.000000,6.557875,0.000000
uniform,20,3,0.00,greedy,4.600000,4.600000,5.000000,0.258792,0.200000
uniform,20,3,0.00,balanced,5.000000,5.000000,5.000000,0.009667,0.600000
uniform,20,3,0.00,weighted,5.000000,5.000000,5.000000,0.015834,0.600000
uniform,20,3,0.15,exact,4.490000,4.400000,5.000000,4.275834,0.000000
uniform,20,3,0.15,beam,4.490000,4.400000,5.000000,6.434333,0.000000
uniform,20,3,0.15,greedy,4.660000,4.600000,5.000000,0.254459,0.170000
uniform,20,3,0.15,balanced,5.000000,5.000000,5.000000,0.009042,0.510000
uniform,20,3,0.15,weighted,5.000000,5.000000,5.000000,0.015459,0.510000
uniform,20,3,0.30,exact,4.580000,4.400000,5.000000,4.355458,0.000000
uniform,20,3,0.30,beam,4.580000,4.400000,5.000000,6.616833,0.000000
uniform,20,3,0.30,greedy,4.720000,4.600000,5.000000,0.260375,0.140000
uniform,20,3,0.30,balanced,5.000000,5.000000,5.000000,0.009417,0.420000
uniform,20,3,0.30,weighted,5.000000,5.000000,5.000000,0.015250,0.420000
uniform,20,4,0.00,exact,4.400000,4.400000,5.000000,10.189125,0.000000
uniform,20,4,0.00,beam,4.400000,4.400000,5.000000,10.664084,0.000000
uniform,20,4,0.00,greedy,4.600000,4.600000,5.000000,0.257833,0.200000
uniform,20,4,0.00,balanced,4.900000,4.900000,5.000000,0.011208,0.500000
uniform,20,4,0.00,weighted,4.900000,4.900000,5.000000,0.018458,0.500000
uniform,20,4,0.15,exact,4.490000,4.400000,5.000000,9.893166,0.000000
uniform,20,4,0.15,beam,4.490000,4.400000,5.000000,10.433750,0.000000
uniform,20,4,0.15,greedy,4.660000,4.600000,5.000000,0.256167,0.170000
uniform,20,4,0.15,balanced,4.915000,4.900000,5.000000,0.011083,0.425000
uniform,20,4,0.15,weighted,4.915000,4.900000,5.000000,0.018416,0.425000
uniform,20,4,0.30,exact,4.580000,4.400000,5.000000,9.772834,0.000000
uniform,20,4,0.30,beam,4.580000,4.400000,5.000000,10.542833,0.000000
uniform,20,4,0.30,greedy,4.720000,4.600000,5.000000,0.256584,0.140000
uniform,20,4,0.30,balanced,4.930000,4.900000,5.000000,0.011208,0.350000
uniform,20,4,0.30,weighted,4.930000,4.900000,5.000000,0.019000,0.350000
zipf,8,2,0.00,exact,2.681559,2.681559,4.000000,0.190750,0.000000
zipf,8,2,0.00,beam,2.681559,2.681559,4.000000,0.401792,0.000000
zipf,8,2,0.00,greedy,2.896189,2.896189,4.000000,0.080250,0.214630
zipf,8,2,0.00,balanced,3.000000,3.000000,3.000000,0.006500,0.318441
zipf,8,2,0.00,weighted,2.896189,2.896189,4.000000,0.009083,0.214630
zipf,8,2,0.15,exact,2.879325,2.681559,4.000000,0.189209,0.000000
zipf,8,2,0.15,beam,2.879325,2.681559,4.000000,0.402625,0.000000
zipf,8,2,0.15,greedy,3.000000,3.000000,3.000000,0.037875,0.120675
zipf,8,2,0.15,balanced,3.000000,3.000000,3.000000,0.006709,0.120675
zipf,8,2,0.15,weighted,3.061761,2.896189,4.000000,0.008958,0.182435
zipf,8,2,0.30,exact,3.000000,3.000000,3.000000,0.186041,0.000000
zipf,8,2,0.30,beam,3.000000,3.000000,3.000000,0.402833,0.000000
zipf,8,2,0.30,greedy,3.000000,3.000000,3.000000,0.038542,0.000000
zipf,8,2,0.30,balanced,3.000000,3.000000,3.000000,0.006375,0.000000
zipf,8,2,0.30,weighted,3.227332,2.896189,4.000000,0.009167,0.227332
zipf,8,3,0.00,exact,2.681559,2.681559,4.000000,0.465042,0.000000
zipf,8,3,0.00,beam,2.681559,2.681559,4.000000,1.250625,0.000000
zipf,8,3,0.00,greedy,2.896189,2.896189,4.000000,0.081708,0.214630
