scenario,n,method,solver,fallback,budget,split_count,memory_bytes,selection_score,selection_seconds,candidate_count,test_mean_cost,test_max_cost
stationary_hot_head,128,fixed_weighted,weighted,fixed_rounds,4,4,944,,0.0,1,5.218487394957983,9
hot_reversal,128,tuned_tv_dro,beam,midpoint_binary,2,2,752,6.203149920255184,1.4246680839999044,26,8.715909090909092,9.0
hot_reversal,128,tuned_nominal,beam,midpoint_binary,2,2,752,5.203149920255183,1.433282416999873,26,8.715909090909092,9.0
hot_reversal,128,fixed_beam,beam,fixed_rounds,4,2,752,,0.0,1,8.829545454545455,9
hot_reversal,128,fixed_balanced,balanced,fixed_rounds,4,4,944,,0.0,1,7.0,7
hot_reversal,128,fixed_weighted,weighted,fixed_rounds,4,4,944,,0.0,1,8.829545454545455,9
partial_hot_drift_15,128,tuned_tv_dro,beam,midpoint_binary,2,2,752,6.203149920255184,1.4221639999998388,26,5.7216720779220775,9.0
partial_hot_drift_15,128,tuned_nominal,beam,midpoint_binary,2,2,752,5.203149920255183,1.4284519999998793,26,5.7216720779220775,9.0
partial_hot_drift_15,128,fixed_beam,beam,fixed_rounds,4,2,752,,0.0,1,5.760146103896104,9
partial_hot_drift_15,128,fixed_balanced,balanced,fixed_rounds,4,4,944,,0.0,1,7.0,7
partial_hot_drift_15,128,fixed_weighted,weighted,fixed_rounds,4,4,944,,0.0,1,5.760146103896104,9
partial_hot_drift_35,128,tuned_tv_dro,beam,midpoint_binary,2,2,752,6.203149920255184,1.4472410830001081,26,6.426198433919022,9.0
partial_hot_drift_35,128,tuned_nominal,beam,midpoint_binary,2,2,752,5.203149920255183,1.4296766670001944,26,6.426198433919022,9.0
partial_hot_drift_35,128,fixed_beam,beam,fixed_rounds,4,2,752,,0.0,1,6.482357715813598,9
partial_hot_drift_35,128,fixed_balanced,balanced,fixed_rounds,4,4,944,,0.0,1,6.999999999999999,7
partial_hot_drift_35,128,fixed_weighted,weighted,fixed_rounds,4,4,944,,0.0,1,6.482357715813598,9
partial_hot_drift_65,128,tuned_tv_dro,beam,midpoint_binary,2,2,752,6.203149920255184,1.4317989589999343,26,7.482987967914439,9.0
partial_hot_drift_65,128,tuned_nominal,beam,midpoint_binary,2,2,752,5.203149920255183,1.4339044169998942,26,7.482987967914439,9.0
partial_hot_drift_65,128,fixed_beam,beam,fixed_rounds,4,2,752,,0.0,1,7.56567513368984,9
partial_hot_drift_65,128,fixed_balanced,balanced,fixed_rounds,4,4,944,,0.0,1,7.0,7
partial_hot_drift_65,128,fixed_weighted,weighted,fixed_rounds,4,4,944,,0.0,1,7.56567513368984,9
uniform_to_zipf,128,tuned_tv_dro,beam,fixed_rounds,0,0,560,7.0,1.4089396669999132,18,7.0,7.0
uniform_to_zipf,128,tuned_nominal,beam,fixed_rounds,0,0,560,7.0,1.433839541999987,18,7.0,7.0
uniform_to_zipf,128,fixed_beam,beam,fixed_rounds,4,0,560,,0.0,1,7.0,7
uniform_to_zipf,128,fixed_balanced,balanced,fixed_rounds,4,4,944,,0.0,1,7.0,7
uniform_to_zipf,128,fixed_weighted,weighted,fixed_rounds,4,4,944,,0.0,1,7.0,7
zipf_to_uniform,128,tuned_tv_dro,beam,midpoint_binary,3,3,848,6.764503588516747,1.4557261659999767,38,7.59375,8.0
zipf_to_uniform,128,tuned_nominal,beam,midpoint_binary,4,4,944,5.661931818181818,1.4599013330000616,38,7.828125,9.0
zipf_to_uniform,128,fixed_beam,beam,fixed_rounds,4,3,848,,0.0,1,7.703125,8
zipf_to_uniform,128,fixed_balanced,balanced,fixed_rounds,4,4,944,,0.0,1,7.0,7
zipf_to_uniform,128,fixed_weighted,weighted,fixed_rounds,4,4,944,,0.0,1,8.328125,9
