distribution,n,budget,eta,candidate_limit,exact_objective,restricted_objective,beam_objective,candidate_pruning_gap,beam_truncation_gap,total_gap,decomposition_residual
zipf,16,2,0.0,16,3.5798357437681583,3.5798357437681583,3.579835743768,0.0,-1.580957587066223e-13,-1.580957587066223e-13,0.0
zipf,16,2,0.0,32,3.5798357437681583,3.5798357437681583,3.579835743768,0.0,-1.580957587066223e-13,-1.580957587066223e-13,0.0
zipf,16,2,0.15,4,3.7928603822029343,3.82668303948314,3.826683039483,0.033822657280205615,-1.3988810110276972e-13,0.03382265728006573,0.0
zipf,16,2,0.15,8,3.7928603822029343,3.82668303948314,3.826683039483,0.033822657280205615,-1.3988810110276972e-13,0.03382265728006573,0.0
zipf,16,2,0.15,16,3.7928603822029343,3.7928603822029343,3.792860382203,0.0,6.572520305780927e-14,6.572520305780927e-14,0.0
zipf,16,2,0.15,32,3.7928603822029343,3.7928603822029343,3.792860382203,0.0,6.572520305780927e-14,6.572520305780927e-14,0.0
zipf,16,2,0.3,4,4.0,4.0,4.0,0.0,0.0,0.0,0.0
zipf,16,2,0.3,8,4.0,4.0,4.0,0.0,0.0,0.0,0.0
zipf,16,2,0.3,16,4.0,4.0,4.0,0.0,0.0,0.0,0.0
zipf,16,2,0.3,32,4.0,4.0,4.0,0.0,0.0,0.0,0.0
zipf,16,3,0.0,4,3.4963795253880576,3.4963795253880576,3.496379525388,0.0,-5.773159728050814e-14,-5.773159728050814e-14,0.0
zipf,16,3,0.0,8,3.4963795253880576,3.4963795253880576,3.496379525388,0.0,-5.773159728050814e-14,-5.773159728050814e-14,0.0
zipf,16,3,0.0,16,3.4963795253880576,3.4963795253880576,3.496379525388,0.0,-5.773159728050814e-14,-5.773159728050814e-14,0.0
zipf,16,3,0.0,32,3.4963795253880576,3.4963795253880576,3.496379525388,0.0,-5.773159728050814e-14,-5.773159728050814e-14,0.0
zipf,16,3,0.15,4,3.721922596579849,3.721922596579849,3.72192259658,0.0,1.509903313490213e-13,1.509903313490213e-13,0.0
zipf,16,3,0.15,8,3.721922596579849,3.721922596579849,3.72192259658,0.0,1.509903313490213e-13,1.509903313490213e-13,0.0
zipf,16,3,0.15,16,3.721922596579849,3.721922596579849,3.72192259658,0.0,1.509903313490213e-13,1.509903313490213e-13,0.0
zipf,16,3,0.15,32,3.721922596579849,3.721922596579849,3.72192259658,0.0,1.509903313490213e-13,1.509903313490213e-13,0.0
zipf,16,3,0.3,4,3.94746566777164,3.94746566777164,3.947465667772,0.0,3.601563491884008e-13,3.601563491884008e-13,0.0
zipf,16,3,0.3,8,3.94746566777164,3.94746566777164,3.947465667772,0.0,3.601563491884008e-13,3.601563491884008e-13,0.0
zipf,16,3,0.3,16,3.94746566777164,3.94746566777164,3.947465667772,0.0,3.601563491884008e-13,3.601563491884008e-13,0.0
zipf,16,3,0.3,32,3.94746566777164,3.94746566777164,3.947465667772,0.0,3.601563491884008e-13,3.601563491884008e-13,0.0
zipf,16,4,0.0,4,3.4565881638819334,3.4700099607684445,3.470009960768,0.013421796886511128,-4.445332990599127e-13,0.013421796886066595,0.0
zipf,16,4,0.0,8,3.4565881638819334,3.4700099607684445,3.470009960768,0.013421796886511128,-4.445332990599127e-13,0.013421796886066595,0.0
zipf,16,4,0.0,16,3.4565881638819334,3.4565881638819334,3.470009960768,0.0,0.013421796886066595,0.013421796886066595,0.0
zipf,16,4,0.0,32,3.4565881638819334,3.4565881638819334,3.470009960768,0.0,0.013421796886066595,0.013421796886066595,0.0
zipf,16,4,0.15,4,3.688099939299643,3.7009705079991906,3.700970507999,0.012870568699547391,-1.9051427102567686e-13,0.012870568699356877,0.0
zipf,16,4,0.15,8,3.688099939299643,3.7009705079991906,3.700970507999,0.012870568699547391,-1.9051427102567686e-13,0.012870568699356877,0.0
zipf,16,4,0.15,16,3.688099939299643,3.688099939299643,3.6880999393,0.0,3.566036355096003e-13,3.566036355096003e-13,0.0
zipf,16,4,0.15,32,3.688099939299643,3.688099939299643,3.6880999393,0.0,3.566036355096003e-13,3.566036355096003e-13,0.0
zipf,16,4,0.3,4,3.919611714717353,3.9302110065875686,3.930211006588,0.010599291870215577,4.312106227644108e-13,0.010599291870646788,0.0
zipf,16,4,0.3,8,3.919611714717353,3.9302110065875686,3.930211006588,0.010599291870215577,4.312106227644108e-13,0.010599291870646788,0.0
zipf,16,4,0.3,16,3.919611714717353,3.919611714717353,3.919611714717,0.0,-3.530509218307998e-13,-3.530509218307998e-13,0.0
zipf,16,4,0.3,32,3.919611714717353,3.919611714717353,3.919611714717,0.0,-3.530509218307998e-13,-3.530509218307998e-13,0.0
zipf,20,2,0.0,4,3.804176857457227,3.804176857457227,3.804176857457,0.0,-2.26929586233382e-13,-2.26929586233382e-13,0.0
zipf,20,2,0.0,8,3.804176857457227,3.804176857457227,3.804176857457,0.0,-2.26929586233382e-13,-2.26929586233382e-13,0.0
zipf,20,2,0.0,16,3.804176857457227,3.804176857457227,3.804176857457,0.0,-2.26929586233382e-13,-2.26929586233382e-13,0.0
zipf,20,2,0.0,32,3.804176857457227,3.804176857457227,3.804176857457,0.0,-2.26929586233382e-13,-2.26929586233382e-13,0.0
zipf,20,2,0.15,4,3.9880220137374076,3.9880220137374076,3.988022013737,0.0,-4.076738946423575e-13,-4.076738946423575e-13,0.0
zipf,20,2,0.15,8,3.9880220137374076,3.9880220137374076,3.988022013737,0.0,-4.076738946423575e-13,-4.076738946423575e-13,0.0
zipf,20,2,0.15,16,3.9880220137374076,3.9880220137374076,3.988022013737,0.0,-4.076738946423575e-13,-4.076738946423575e-13,0.0
zipf,20,2,0.15,32,3.9880220137374076,3.9880220137374076,3.988022013737,0.0,-4.076738946423575e-13,-4.076738946423575e-13,0.0
zipf,20,2,0.3,4,4.166606364254336,4.166606364254336,4.166606364254,0.0,-3.3573144264664734e-13,-3.3573144264664734e-13,0.0
zipf,20,2,0.3,8,4.166606364254336,4.166606364254336,4.166606364254,0.0,-3.3573144264664734e-13,-3.3573144264664734e-13,0.0
zipf,20,2,0.3,16,4.166606364254336,4.166606364254336,4.166606364254,0.0,-3.3573144264664734e-13,-3.3573144264664734e-13,0.0
zipf,20,2,0.3,32,4.166606364254336,4.166606364254336,4.166606364254,0.0,-3.3573144264664734e-13,-3.3573144264664734e-13,0.0
zipf,20,3,0.0,4,3.7260519742631595,3.771087298347179,3.771087298347,0.04503532408401956,-1.7896795156957523e-13,0.04503532408384059,0.0
zipf,20,3,0.0,8,3.7260519742631595,3.771087298347179,3.771087298347,0.04503532408401956,-1.7896795156957523e-13,0.04503532408384059,0.0
zipf,20,3,0.0,16,3.7260519742631595,3.7260519742631595,3.726051974263,0.0,-1.5942802633617248e-13,-1.5942802633617248e-13,0.0
