n,scenario,migration_cost_units,candidate,fixed_total_cost,ratio_to_tracking_wfa,memory_slots,height
16,range_to_update,32.0,prefix_sum,574.000000000000,1.816455696203,33,1
16,range_to_update,32.0,fenwick,355.000000000000,1.123417721519,33,4
16,range_to_update,32.0,sqrt_decomposition,521.000000000000,1.648734177215,20,1
16,range_to_update,32.0,segment_tree,452.000000000000,1.430379746835,32,4
16,range_to_update,32.0,certirange_point,774.000000000000,2.449367088608,47,4
16,range_to_update,32.0,certirange_range,774.000000000000,2.449367088608,47,4
16,update_to_range,2.0,sorted_array,647.000000000000,4.757352941176,16,0
16,update_to_range,2.0,prefix_sum,544.000000000000,4.000000000000,33,1
16,update_to_range,2.0,fenwick,326.000000000000,2.397058823529,33,4
16,update_to_range,2.0,sqrt_decomposition,487.000000000000,3.580882352941,20,1
16,update_to_range,2.0,segment_tree,421.000000000000,3.095588235294,32,4
16,update_to_range,2.0,certirange_point,744.000000000000,5.470588235294,47,4
16,update_to_range,2.0,certirange_range,744.000000000000,5.470588235294,47,4
16,update_to_range,8.0,sorted_array,647.000000000000,4.228758169935,16,0
16,update_to_range,8.0,prefix_sum,550.000000000000,3.594771241830,33,1
16,update_to_range,8.0,fenwick,332.000000000000,2.169934640523,33,4
16,update_to_range,8.0,sqrt_decomposition,493.000000000000,3.222222222222,20,1
16,update_to_range,8.0,segment_tree,427.000000000000,2.790849673203,32,4
16,update_to_range,8.0,certirange_point,750.000000000000,4.901960784314,47,4
16,update_to_range,8.0,certirange_range,750.000000000000,4.901960784314,47,4
16,update_to_range,32.0,sorted_array,647.000000000000,2.825327510917,16,0
16,update_to_range,32.0,prefix_sum,574.000000000000,2.506550218341,33,1
16,update_to_range,32.0,fenwick,356.000000000000,1.554585152838,33,4
16,update_to_range,32.0,sqrt_decomposition,517.000000000000,2.257641921397,20,1
16,update_to_range,32.0,segment_tree,451.000000000000,1.969432314410,32,4
16,update_to_range,32.0,certirange_point,774.000000000000,3.379912663755,47,4
16,update_to_range,32.0,certirange_range,774.000000000000,3.379912663755,47,4
16,three_phase,2.0,sorted_array,463.000000000000,3.674603174603,16,0
16,three_phase,2.0,prefix_sum,396.000000000000,3.142857142857,33,1
16,three_phase,2.0,fenwick,251.000000000000,1.992063492063,33,4
16,three_phase,2.0,sqrt_decomposition,359.000000000000,2.849206349206,20,1
16,three_phase,2.0,segment_tree,314.000000000000,2.492063492063,32,4
16,three_phase,2.0,certirange_point,660.000000000000,5.238095238095,47,4
16,three_phase,2.0,certirange_range,660.000000000000,5.238095238095,47,4
16,three_phase,8.0,sorted_array,463.000000000000,2.840490797546,16,0
16,three_phase,8.0,prefix_sum,402.000000000000,2.466257668712,33,1
16,three_phase,8.0,fenwick,257.000000000000,1.576687116564,33,4
16,three_phase,8.0,sqrt_decomposition,365.000000000000,2.239263803681,20,1
16,three_phase,8.0,segment_tree,320.000000000000,1.963190184049,32,4
16,three_phase,8.0,certirange_point,666.000000000000,4.085889570552,47,4
16,three_phase,8.0,certirange_range,666.000000000000,4.085889570552,47,4
16,three_phase,32.0,sorted_array,463.000000000000,1.479233226837,16,0
16,three_phase,32.0,prefix_sum,426.000000000000,1.361022364217,33,1
16,three_phase,32.0,fenwick,281.000000000000,0.897763578275,33,4
16,three_phase,32.0,sqrt_decomposition,389.000000000000,1.242811501597,20,1
16,three_phase,32.0,segment_tree,344.000000000000,1.099041533546,32,4
16,three_phase,32.0,certirange_point,690.000000000000,2.204472843450,47,4
16,three_phase,32.0,certirange_range,690.000000000000,2.204472843450,47,4
16,alternating_range_update,2.0,sorted_array,672.000000000000,2.153846153846,16,0
16,alternating_range_update,2.0,prefix_sum,568.000000000000,1.820512820513,33,1
16,alternating_range_update,2.0,fenwick,313.000000000000,1.003205128205,33,4
16,alternating_range_update,2.0,sqrt_decomposition,476.000000000000,1.525641025641,20,1
16,alternating_range_update,2.0,segment_tree,394.000000000000,1.262820512821,32,4
16,alternating_range_update,2.0,certirange_point,640.000000000000,2.051282051282,47,4
16,alternating_range_update,2.0,certirange_range,640.000000000000,2.051282051282,47,4
16,alternating_range_update,8.0,sorted_array,672.000000000000,2.030211480363,16,0
16,alternating_range_update,8.0,prefix_sum,574.000000000000,1.734138972810,33,1
16,alternating_range_update,8.0,fenwick,319.000000000000,0.963746223565,33,4
16,alternating_range_update,8.0,sqrt_decomposition,482.000000000000,1.456193353474,20,1
16,alternating_range_update,8.0,segment_tree,400.000000000000,1.208459214502,32,4
16,alternating_range_update,8.0,certirange_point,646.000000000000,1.951661631420,47,4
16,alternating_range_update,8.0,certirange_range,646.000000000000,1.951661631420,47,4
16,alternating_range_update,32.0,sorted_array,672.000000000000,1.663366336634,16,0
16,alternating_range_update,32.0,prefix_sum,598.000000000000,1.480198019802,33,1
16,alternating_range_update,32.0,fenwick,343.000000000000,0.849009900990,33,4
16,alternating_range_update,32.0,sqrt_decomposition,506.000000000000,1.252475247525,20,1
16,alternating_range_update,32.0,segment_tree,424.000000000000,1.049504950495,32,4
16,alternating_range_update,32.0,certirange_point,670.000000000000,1.658415841584,47,4
16,alternating_range_update,32.0,certirange_range,670.000000000000,1.658415841584,47,4
16,short_bursts,2.0,sorted_array,647.000000000000,4.371621621622,16,0
16,short_bursts,2.0,prefix_sum,364.000000000000,2.459459459459,33,1
16,short_bursts,2.0,fenwick,281.000000000000,1.898648648649,33,4
16,short_bursts,2.0,sqrt_decomposition,391.000000000000,2.641891891892,20,1
16,short_bursts,2.0,segment_tree,325.000000000000,2.195945945946,32,4
16,short_bursts,2.0,certirange_point,744.000000000000,5.027027027027,47,4
16,short_bursts,2.0,certirange_range,744.000000000000,5.027027027027,47,4
16,short_bursts,8.0,sorted_array,647.000000000000,2.361313868613,16,0
16,short_bursts,8.0,prefix_sum,370.000000000000,1.350364963504,33,1
16,short_bursts,8.0,fenwick,287.000000000000,1.047445255474,33,4
16,short_bursts,8.0,sqrt_decomposition,397.000000000000,1.448905109489,20,1
16,short_bursts,8.0,segment_tree,331.000000000000,1.208029197080,32,4
16,short_bursts,8.0,certirange_point,750.000000000000,2.737226277372,47,4
16,short_bursts,8.0,certirange_range,750.000000000000,2.737226277372,47,4
16,short_bursts,32.0,sorted_array,647.000000000000,1.487356321839,16,0
16,short_bursts,32.0,prefix_sum,394.000000000000,0.905747126437,33,1
16,short_bursts,32.0,fenwick,311.000000000000,0.714942528736,33,4
16,short_bursts,32.0,sqrt_decomposition,421.000000000000,0.967816091954,20,1
16,short_bursts,32.0,segment_tree,355.000000000000,0.816091954023,32,4
16,short_bursts,32.0,certirange_point,774.000000000000,1.779310344828,47,4
16,short_bursts,32.0,certirange_range,774.000000000000,1.779310344828,47,4
16,random_iid,2.0,sorted_array,505.000000000000,2.715053763441,16,0
16,random_iid,2.0,prefix_sum,365.000000000000,1.962365591398,33,1
16,random_iid,2.0,fenwick,240.000000000000,1.290322580645,33,4
16,random_iid,2.0,sqrt_decomposition,351.000000000000,1.887096774194,20,1
16,random_iid,2.0,segment_tree,299.000000000000,1.607526881720,32,4
16,random_iid,2.0,certirange_point,660.000000000000,3.548387096774,47,4
16,random_iid,2.0,certirange_range,660.000000000000,3.548387096774,47,4
16,random_iid,8.0,sorted_array,505.000000000000,1.816546762590,16,0
16,random_iid,8.0,prefix_sum,371.000000000000,1.334532374101,33,1
16,random_iid,8.0,fenwick,246.000000000000,0.884892086331,33,4
16,random_iid,8.0,sqrt_decomposition,357.000000000000,1.284172661871,20,1
16,random_iid,8.0,segment_tree,305.000000000000,1.097122302158,32,4
16,random_iid,8.0,certirange_point,666.000000000000,2.395683453237,47,4
16,random_iid,8.0,certirange_range,666.000000000000,2.395683453237,47,4
16,random_iid,32.0,sorted_array,505.000000000000,1.516516516517,16,0
16,random_iid,32.0,prefix_sum,395.000000000000,1.186186186186,33,1
16,random_iid,32.0,fenwick,270.000000000000,0.810810810811,33,4
16,random_iid,32.0,sqrt_decomposition,381.000000000000,1.144144144144,20,1
16,random_iid,32.0,segment_tree,329.000000000000,0.987987987988,32,4
16,random_iid,32.0,certirange_point,690.000000000000,2.072072072072,47,4
16,random_iid,32.0,certirange_range,690.000000000000,2.072072072072,47,4
16,markov_bursty,2.0,sorted_array,353.000000000000,2.674242424242,16,0
16,markov_bursty,2.0,prefix_sum,388.000000000000,2.939393939394,33,1
16,markov_bursty,2.0,fenwick,219.000000000000,1.659090909091,33,4
16,markov_bursty,2.0,sqrt_decomposition,313.000000000000,2.371212121212,20,1
16,markov_bursty,2.0,segment_tree,280.000000000000,2.121212121212,32,4
16,markov_bursty,2.0,certirange_point,602.000000000000,4.560606060606,47,4
16,markov_bursty,2.0,certirange_range,602.000000000000,4.560606060606,47,4
16,markov_bursty,8.0,sorted_array,353.000000000000,1.234265734266,16,0
16,markov_bursty,8.0,prefix_sum,394.000000000000,1.377622377622,33,1
16,markov_bursty,8.0,fenwick,225.000000000000,0.786713286713,33,4
16,markov_bursty,8.0,sqrt_decomposition,319.000000000000,1.115384615385,20,1
16,markov_bursty,8.0,segment_tree,286.000000000000,1.000000000000,32,4
16,markov_bursty,8.0,certirange_point,608.000000000000,2.125874125874,47,4
16,markov_bursty,8.0,certirange_range,608.000000000000,2.125874125874,47,4
16,markov_bursty,32.0,sorted_array,353.000000000000,1.023188405797,16,0
16,markov_bursty,32.0,prefix_sum,418.000000000000,1.211594202899,33,1
16,markov_bursty,32.0,fenwick,249.000000000000,0.721739130435,33,4
16,markov_bursty,32.0,sqrt_decomposition,343.000000000000,0.994202898551,20,1
16,markov_bursty,32.0,segment_tree,310.000000000000,0.898550724638,32,4
16,markov_bursty,32.0,certirange_point,632.000000000000,1.831884057971,47,4
16,markov_bursty,32.0,certirange_range,632.000000000000,1.831884057971,47,4
16,varying_ranges,2.0,sorted_array,520.000000000000,2.857142857143,16,0
16,varying_ranges,2.0,prefix_sum,182.000000000000,1.000000000000,33,1
16,varying_ranges,2.0,fenwick,357.000000000000,1.961538461538,33,4
16,varying_ranges,2.0,sqrt_decomposition,321.000000000000,1.763736263736,20,1
16,varying_ranges,2.0,segment_tree,242.000000000000,1.329670329670,32,4
16,varying_ranges,2.0,certirange_point,1086.000000000000,5.967032967033,47,4
16,varying_ranges,2.0,certirange_range,1086.000000000000,5.967032967033,47,4
16,varying_ranges,8.0,sorted_array,520.000000000000,2.600000000000,16,0
16,varying_ranges,8.0,prefix_sum,188.000000000000,0.940000000000,33,1
16,varying_ranges,8.0,fenwick,363.000000000000,1.815000000000,33,4
16,varying_ranges,8.0,sqrt_decomposition,327.000000000000,1.635000000000,20,1
16,varying_ranges,8.0,segment_tree,248.000000000000,1.240000000000,32,4
16,varying_ranges,8.0,certirange_point,1092.000000000000,5.460000000000,47,4
16,varying_ranges,8.0,certirange_range,1092.000000000000,5.460000000000,47,4
16,varying_ranges,32.0,sorted_array,520.000000000000,1.884057971014,16,0
16,varying_ranges,32.0,prefix_sum,212.000000000000,0.768115942029,33,1
16,varying_ranges,32.0,fenwick,387.000000000000,1.402173913043,33,4
16,varying_ranges,32.0,sqrt_decomposition,351.000000000000,1.271739130435,20,1
16,varying_ranges,32.0,segment_tree,272.000000000000,0.985507246377,32,4
16,varying_ranges,32.0,certirange_point,1116.000000000000,4.043478260870,47,4
16,varying_ranges,32.0,certirange_range,1116.000000000000,4.043478260870,47,4
64,stable_points,2.0,sorted_array,96.000000000000,1.000000000000,64,0
64,stable_points,2.0,prefix_sum,98.000000000000,1.020833333333,129,1
64,stable_points,2.0,fenwick,98.000000000000,1.020833333333,129,6
64,stable_points,2.0,sqrt_decomposition,98.000000000000,1.020833333333,72,1
64,stable_points,2.0,segment_tree,98.000000000000,1.020833333333,128,6
64,stable_points,2.0,certirange_point,674.000000000000,7.020833333333,191,6
64,stable_points,2.0,certirange_range,674.000000000000,7.020833333333,191,6
64,stable_points,8.0,sorted_array,96.000000000000,1.000000000000,64,0
64,stable_points,8.0,prefix_sum,104.000000000000,1.083333333333,129,1
64,stable_points,8.0,fenwick,104.000000000000,1.083333333333,129,6
64,stable_points,8.0,sqrt_decomposition,104.000000000000,1.083333333333,72,1
64,stable_points,8.0,segment_tree,104.000000000000,1.083333333333,128,6
64,stable_points,8.0,certirange_point,680.000000000000,7.083333333333,191,6
64,stable_points,8.0,certirange_range,680.000000000000,7.083333333333,191,6
64,stable_points,32.0,sorted_array,96.000000000000,1.000000000000,64,0
64,stable_points,32.0,prefix_sum,128.000000000000,1.333333333333,129,1
64,stable_points,32.0,fenwick,128.000000000000,1.333333333333,129,6
64,stable_points,32.0,sqrt_decomposition,128.000000000000,1.333333333333,72,1
64,stable_points,32.0,segment_tree,128.000000000000,1.333333333333,128,6
64,stable_points,32.0,certirange_point,704.000000000000,7.333333333333,191,6
64,stable_points,32.0,certirange_range,704.000000000000,7.333333333333,191,6
64,stable_ranges,2.0,sorted_array,4488.000000000000,23.746031746032,64,0
64,stable_ranges,2.0,prefix_sum,189.000000000000,1.000000000000,129,1
64,stable_ranges,2.0,fenwick,571.000000000000,3.021164021164,129,6
64,stable_ranges,2.0,sqrt_decomposition,1165.000000000000,6.164021164021,72,1
64,stable_ranges,2.0,segment_tree,567.000000000000,3.000000000000,128,6
64,stable_ranges,2.0,certirange_point,1802.000000000000,9.534391534392,191,6
64,stable_ranges,2.0,certirange_range,1802.000000000000,9.534391534392,191,6
64,stable_ranges,8.0,sorted_array,4488.000000000000,23.015384615385,64,0
64,stable_ranges,8.0,prefix_sum,195.000000000000,1.000000000000,129,1
64,stable_ranges,8.0,fenwick,577.000000000000,2.958974358974,129,6
64,stable_ranges,8.0,sqrt_decomposition,1171.000000000000,6.005128205128,72,1
64,stable_ranges,8.0,segment_tree,573.000000000000,2.938461538462,128,6
64,stable_ranges,8.0,certirange_point,1808.000000000000,9.271794871795,191,6
64,stable_ranges,8.0,certirange_range,1808.000000000000,9.271794871795,191,6
64,stable_ranges,32.0,sorted_array,4488.000000000000,15.914893617021,64,0
64,stable_ranges,32.0,prefix_sum,219.000000000000,0.776595744681,129,1
64,stable_ranges,32.0,fenwick,601.000000000000,2.131205673759,129,6
64,stable_ranges,32.0,sqrt_decomposition,1195.000000000000,4.237588652482,72,1
64,stable_ranges,32.0,segment_tree,597.000000000000,2.117021276596,128,6
64,stable_ranges,32.0,certirange_point,1832.000000000000,6.496453900709,191,6
64,stable_ranges,32.0,certirange_range,1832.000000000000,6.496453900709,191,6
64,stable_updates,2.0,sorted_array,96.000000000000,1.000000000000,64,0
64,stable_updates,2.0,prefix_sum,3250.000000000000,33.854166666667,129,1
64,stable_updates,2.0,fenwick,387.000000000000,4.031250000000,129,6
64,stable_updates,2.0,sqrt_decomposition,866.000000000000,9.020833333333,72,1
64,stable_updates,2.0,segment_tree,674.000000000000,7.020833333333,128,6
64,stable_updates,2.0,certirange_point,674.000000000000,7.020833333333,191,6
64,stable_updates,2.0,certirange_range,674.000000000000,7.020833333333,191,6
64,stable_updates,8.0,sorted_array,96.000000000000,1.000000000000,64,0
64,stable_updates,8.0,prefix_sum,3256.000000000000,33.916666666667,129,1
64,stable_updates,8.0,fenwick,393.000000000000,4.093750000000,129,6
64,stable_updates,8.0,sqrt_decomposition,872.000000000000,9.083333333333,72,1
64,stable_updates,8.0,segment_tree,680.000000000000,7.083333333333,128,6
64,stable_updates,8.0,certirange_point,680.000000000000,7.083333333333,191,6
64,stable_updates,8.0,certirange_range,680.000000000000,7.083333333333,191,6
64,stable_updates,32.0,sorted_array,96.000000000000,1.000000000000,64,0
64,stable_updates,32.0,prefix_sum,3280.000000000000,34.166666666667,129,1
64,stable_updates,32.0,fenwick,417.000000000000,4.343750000000,129,6
