horizon,n,workload,implementation,operations,ns_per_operation,baseline_ns_per_operation,ratio_to_direct,checksum,baseline_checksum
5000,256,range_to_update,frozen_fenwick_unchecked,5000,6.1918,6.1334,1.01365332984,80536116,80536116
5000,256,range_to_update,static_fenwick_checked,5000,5.8084,6.0084,0.965410788382,80536116,80536116
5000,256,range_to_update,static_fenwick_unchecked,5000,5.9332,5.9334,0.99859221023,80536116,80536116
5000,256,range_to_update,fast_checked,5000,14.4416,5.85,2.47478991597,80536116,80536116
5000,256,range_to_update,fast_unchecked,5000,12.4416,5.8666,2.12536752137,80536116,80536116
5000,256,range_to_update,fast_detached_data_plane,5000,8.9584,5.8918,1.51771914894,80536116,80536116
5000,256,update_to_range,frozen_fenwick_checked,5000,6.4166,5.7834,1.12048906228,-105776,-105776
5000,256,update_to_range,frozen_fenwick_unchecked,5000,6.075,5.7918,1.05206307308,-105776,-105776
5000,256,update_to_range,static_fenwick_checked,5000,5.6916,5.7916,0.9827336142,-105776,-105776
5000,256,update_to_range,static_fenwick_unchecked,5000,5.8,5.75,0.994209167655,-105776,-105776
5000,256,update_to_range,fast_checked,5000,13.8084,5.9166,2.3338403813,-105776,-105776
5000,256,update_to_range,fast_unchecked,5000,12.2082,5.925,2.06057533043,-105776,-105776
5000,256,update_to_range,fast_detached_data_plane,5000,8.975,6.05,1.4820167733,-105776,-105776
5000,256,alternating,frozen_fenwick_checked,5000,6.1084,4.1418,1.46900101005,41135929,41135929
5000,256,alternating,frozen_fenwick_unchecked,5000,5.4668,3.9584,1.3770783546,41135929,41135929
5000,256,alternating,static_fenwick_checked,5000,4.4,4.0416,1.08193173994,41135929,41135929
5000,256,alternating,static_fenwick_unchecked,5000,3.95,3.9832,0.99576484824,41135929,41135929
5000,256,alternating,fast_checked,5000,12.875,3.9834,3.23955024454,41135929,41135929
5000,256,alternating,fast_unchecked,5000,11.4584,3.8834,2.94628418396,41135929,41135929
5000,256,alternating,fast_detached_data_plane,5000,8.6,3.95,2.17508860759,41135929,41135929
5000,256,short_phases,frozen_fenwick_checked,5000,6.3416,5.4332,1.1676635652,41790190,41790190
5000,256,short_phases,frozen_fenwick_unchecked,5000,6.1334,5.525,1.11011764706,41790190,41790190
5000,256,short_phases,static_fenwick_checked,5000,5.5,5.55,0.991189427313,41790190,41790190
5000,256,short_phases,static_fenwick_unchecked,5000,5.4832,5.5168,0.99243438914,41790190,41790190
5000,256,short_phases,fast_checked,5000,13.4666,5.5,2.45438961228,41790190,41790190
5000,256,short_phases,fast_unchecked,5000,12.1584,5.525,2.20936669216,41790190,41790190
5000,256,short_phases,fast_detached_data_plane,5000,8.9084,5.5084,1.6172391257,41790190,41790190
5000,256,read_mostly,frozen_fenwick_checked,5000,5.25,3.3918,1.54182183602,64341173,64341173
5000,256,read_mostly,frozen_fenwick_unchecked,5000,4.6,3.3834,1.36225583611,64341173,64341173
5000,256,read_mostly,static_fenwick_checked,5000,3.525,3.3916,1.04164705882,64341173,64341173
5000,256,read_mostly,static_fenwick_unchecked,5000,3.5,3.425,1.03454814815,64341173,64341173
5000,256,read_mostly,fast_checked,5000,12.675,3.4166,3.71176922622,64341173,64341173
5000,256,read_mostly,fast_unchecked,5000,11.05,3.4166,3.21838410905,64341173,64341173
5000,256,read_mostly,fast_detached_data_plane,5000,7.7916,3.5,2.21908571429,64341173,64341173
5000,4096,stable_points,frozen_fenwick_checked,5000,2.2416,1.5416,1.44875454074,10144676,10144676
5000,4096,stable_points,frozen_fenwick_unchecked,5000,1.7584,1.5666,1.10647261586,10144676,10144676
5000,4096,stable_points,static_fenwick_checked,5000,1.5,1.5416,0.978463933576,10144676,10144676
5000,4096,stable_points,static_fenwick_unchecked,5000,1.575,1.525,1.04918032787,10144676,10144676
5000,4096,stable_points,fast_checked,5000,9.4,1.55,6.18825806452,10144676,10144676
